date,country,spend,ctr,roas,campaign,message
2025-01-01,US,1200,0.012,2.5,Winter_Sale,"Warm jackets now 30% off"
2025-01-02,IN,800,0.010,3.0,Festival_Promo,"New festive wear collection"
2025-01-03,US,1500,0.009,1.8,Winter_Sale,"Upgrade your winter style"
2025-01-04,UK,600,0.015,2.2,Clearance,"End of season clearance sale"
2025-01-05,IN,400,0.013,2.9,Festival_Promo,"Special festive combo offer"
2025-01-06,CA,500,0.011,2.1,Clearance,"Last chance sale – limited stock"
2025-01-07,US,900,0.008,1.7,Winter_Sale,"Premium winter wear deals"
2025-01-08,UK,700,0.014,3.3,New_Arrivals,"Explore our new arrivals"
2025-01-09,IN,650,0.010,2.4,Festival_Promo,"Exclusive festive discounts"
2025-01-10,CA,550,0.009,2.0,Clearance,"Buy more, save more"
2025-01-11,US,1100,0.007,1.6,Winter_Sale,"Top picks for your winter wardrobe"
2025-01-12,IN,750,0.012,2.8,Festival_Promo,"Limited-time festive offers"

